City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Shaoyang,CN,27.2315,111.4525,40.78,41,1,2.93,clear sky
166,Sucilá,MX,21.15,-88.3167,90.55,31,3,9.64,clear sky
167,Ixtapa,MX,20.7,-105.2,80.22,57,0,7.0,clear sky
168,Kruisfontein,ZA,-34.0033,24.7314,67.89,92,31,9.17,scattered clouds
169,Aguachica,CO,8.3084,-73.6166,86.67,62,48,1.86,scattered clouds
170,São João da Barra,BR,-21.6403,-41.0511,75.29,96,100,17.78,light rain
171,Finschhafen,PG,-6.6024,147.8681,79.83,80,100,4.23,overcast clouds
172,Mount Gambier,AU,-37.8333,140.7667,50.31,73,100,11.61,overcast clouds
173,Yendi,GH,9.4427,-0.0099,83.89,17,36,2.82,scattered clouds
174,Chui,UY,-33.6971,-53.4616,68.5,45,0,11.65,clear sky
175,Jiaojiang,CN,28.6803,121.4428,48.99,65,100,10.0,overcast clouds
176,Severo-Kuril'sk,RU,50.6789,156.125,32.72,85,100,24.23,light snow
177,Taguatinga,BR,-12.3857,-46.5711,79.41,80,71,3.13,broken clouds
178,Tarakan,ID,3.3,117.6333,78.13,84,100,2.86,overcast clouds
179,Tam Ky,VN,15.5667,108.4833,63.23,83,39,5.3,scattered clouds
180,Tiksi,RU,71.6872,128.8694,-19.8,92,100,16.11,overcast clouds
181,Hithadhoo,MV,-0.6,73.0833,80.96,75,99,11.21,overcast clouds
182,Kavaratti,IN,10.5669,72.642,81.19,76,96,12.39,overcast clouds
183,Dunedin,NZ,-45.8742,170.5036,62.98,55,92,2.71,overcast clouds
184,Bandundu Province,CD,-3.3167,17.3667,70.25,92,100,2.64,overcast clouds
185,Kavieng,PG,-2.5744,150.7967,81.46,76,100,6.02,light rain
186,Wajima,JP,37.4,136.9,46.42,76,100,42.32,overcast clouds
187,Atar,MR,20.5169,-13.0499,80.55,27,0,7.34,clear sky
188,Areia Branca,BR,-4.9561,-37.1369,88.0,70,12,17.87,few clouds
189,Fort Nelson,CA,58.8053,-122.7002,29.14,84,100,3.76,overcast clouds
190,Pisco,PE,-13.7,-76.2167,75.25,69,0,9.22,clear sky
191,San Cristobal,VE,7.7669,-72.225,77.18,54,36,5.77,scattered clouds
192,Castro,BR,-24.7911,-50.0119,73.54,76,52,7.94,broken clouds
193,La Ronge,CA,55.1001,-105.2842,12.42,85,100,4.61,light snow
194,Amapá,BR,1.0,-52.0,88.41,44,89,6.38,overcast clouds
195,Liverpool,GB,53.4106,-2.9779,29.98,94,22,6.91,few clouds
196,Rio Grande,BR,-32.035,-52.0986,78.91,51,0,14.52,clear sky
197,East Wenatchee Bench,US,47.4257,-120.2812,32.74,88,0,1.99,clear sky
198,Buala,SB,-8.145,159.5921,80.08,79,99,1.43,overcast clouds
199,Lewiston,US,44.1003,-70.2148,36.28,56,20,8.05,few clouds
200,Lebu,CL,-37.6167,-73.65,63.3,76,0,16.49,clear sky
201,Kulhudhuffushi,MV,6.6221,73.07,80.35,77,16,4.03,few clouds
202,Jinchang,CN,38.4953,102.1739,22.84,24,0,5.39,clear sky
203,Mucurapo,TT,10.6667,-61.5333,81.25,88,98,9.6,moderate rain
204,Comarapa,BO,-17.9,-64.4833,62.46,80,95,2.26,overcast clouds
205,Saint-Joseph,RE,-21.3667,55.6167,71.98,79,42,11.56,light rain
206,Nemuro,JP,43.3236,145.575,35.2,76,30,23.62,scattered clouds
207,Westport,US,41.1415,-73.3579,42.78,42,0,10.36,clear sky
208,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,22,0,23.02,clear sky
209,Suşehri,TR,40.1644,38.0867,42.6,88,100,3.74,overcast clouds
210,West Fargo,US,46.875,-96.9004,33.85,91,100,13.8,snow
211,Cayenne,GF,4.9333,-52.3333,84.24,70,0,13.8,clear sky
212,Dawei,MM,14.0833,98.2,66.83,79,66,6.89,broken clouds
213,Jalu,LY,29.0331,21.5482,64.96,65,11,8.93,few clouds
214,Irtyshskiy,RU,58.3333,68.1333,-10.61,94,98,5.01,overcast clouds
215,Bethel,US,41.3712,-73.414,39.54,51,0,6.91,clear sky
216,Gizo Government Station,SB,-8.103,156.8419,81.66,75,93,3.69,overcast clouds
217,Bireun,ID,5.203,96.7009,76.6,88,100,8.52,overcast clouds
