City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Half Moon Bay,US,2022-12-13 01:53:16,37.4636,-122.4286,49.91,82,20,9.22
230,Fort Nelson,CA,2022-12-13 01:53:17,58.8053,-122.7002,-2.61,71,100,2.3
231,Vallenar,CL,2022-12-13 01:53:17,-28.5708,-70.7581,71.76,48,0,3.4
232,Killybegs,IE,2022-12-13 01:53:18,54.6333,-8.45,32.72,88,18,6.6
233,Peniche,PT,2022-12-13 01:53:18,39.3558,-9.3811,66.29,97,100,20.51
234,Apollonia,GR,2022-12-13 01:53:19,36.9716,24.7231,60.39,89,10,21.97
235,Hay River,CA,2022-12-13 01:53:19,60.8156,-115.7999,-2.22,71,75,14.97
236,Hasaki,JP,2022-12-13 01:53:20,35.7333,140.8333,46.22,88,100,5.79
237,Pemangkat,ID,2022-12-13 01:53:20,1.1667,108.9667,76.55,89,100,8.39
238,Manokwari,ID,2022-12-13 01:53:21,-0.8667,134.0833,76.62,89,100,4.65
239,Deputatskiy,RU,2022-12-13 01:53:22,69.3,139.9,-23.03,94,100,6.11
240,Taicheng,CN,2022-12-13 01:53:22,38.731,113.228,12.78,22,0,18.95
241,Dikson,RU,2022-12-13 01:52:58,73.5069,80.5464,4.73,94,100,15.3
242,Guanica,PR,2022-12-13 01:53:23,17.9716,-66.908,76.05,70,16,4.5
243,Lasa,IT,2022-12-13 01:53:24,46.6166,10.7002,22.08,72,85,2.28
244,Nipawin,CA,2022-12-13 01:53:24,53.3668,-104.0009,21.24,93,100,9.22
245,Belmonte,BR,2022-12-13 01:53:25,-15.8631,-38.8828,77.47,87,43,13.89
246,Ankang,CN,2022-12-13 01:53:25,32.68,109.0172,44.51,41,92,1.34
247,Presque Isle,US,2022-12-13 01:53:26,46.6811,-68.0159,19.29,73,100,4.61
248,Lamu,KE,2022-12-13 01:53:26,-2.2717,40.902,79.02,80,4,8.5
249,Lavrentiya,RU,2022-12-13 01:53:27,65.5833,-171.0,1.78,89,6,10.85
250,Okakarara,NA,2022-12-13 01:53:27,-20.5833,17.4333,65.84,30,100,4.76
251,Kendari,ID,2022-12-13 01:53:28,-3.945,122.4989,82.96,78,100,2.28
252,Abashiri,JP,2022-12-13 01:53:28,44.0213,144.2697,39.49,75,75,14.97
253,Veraval,IN,2022-12-13 01:53:29,20.9,70.3667,74.23,55,4,11.65
254,Chokurdakh,RU,2022-12-13 01:53:29,70.6333,147.9167,-23.69,99,99,8.52
255,Coihaique,CL,2022-12-13 01:53:30,-45.5752,-72.0662,56.01,71,20,3.44
256,Rio Gallegos,AR,2022-12-13 01:53:30,-51.6226,-69.2181,60.85,36,0,8.05
257,San Cristobal,VE,2022-12-13 01:53:31,7.7669,-72.225,69.98,93,71,0.36
258,Dulce Nombre De Culmi,HN,2022-12-13 01:53:31,15.1,-85.5333,77.23,97,31,2.57
259,Smiths Falls,CA,2022-12-13 01:53:32,44.9001,-76.0161,19.98,62,0,4.9
260,Puqi,CN,2022-12-13 01:53:32,29.7167,113.8833,48.24,37,0,6.04
261,Ajaccio,FR,2022-12-13 01:53:33,42.0,8.9167,41.05,90,100,6.42
262,Bandarbeyla,SO,2022-12-13 01:53:33,9.4942,50.8122,74.95,77,19,12.91
263,Putina,PE,2022-12-13 01:53:34,-15.4667,-69.4333,46.22,74,100,5.55
264,Yerbogachen,RU,2022-12-13 01:53:34,61.2767,108.0108,-21.17,97,95,6.46
265,Manzanillo,CU,2022-12-13 01:53:35,20.3433,-77.1167,73.8,76,65,6.67
266,Davidson,US,2022-12-13 01:53:35,36.1501,-86.7833,47.44,86,54,5.21
267,Kailua,US,2022-12-13 01:53:36,21.4022,-157.7394,80.01,75,43,5.01
268,The Pas,CA,2022-12-13 01:53:37,53.8251,-101.2541,28.42,100,100,3.44
269,Aripuana,BR,2022-12-13 01:53:37,-9.1667,-60.6333,73.17,88,94,2.1
270,San Quintin,MX,2022-12-13 01:53:38,30.4833,-115.95,56.48,57,17,13.47
271,Verkhoturye,RU,2022-12-13 01:53:38,58.8627,60.8054,8.38,96,100,3.36
272,Jaguarari,BR,2022-12-13 01:53:39,-10.2639,-40.1958,72.81,50,97,2.66
273,Kruisfontein,ZA,2022-12-13 01:54:39,-34.0033,24.7314,69.89,88,93,4.36
274,Geraldton,AU,2022-12-13 01:54:40,-28.7667,114.6,91.81,14,0,20.71
275,Tiksi,RU,2022-12-13 01:54:40,71.6872,128.8694,-15.61,94,100,13.2
276,Port Moresby,PG,2022-12-13 01:54:41,-9.4431,147.1797,87.22,66,40,11.5
277,Port Hardy,CA,2022-12-13 01:54:41,50.6996,-127.4199,33.98,100,75,2.3
278,Newport,GB,2022-12-13 01:54:42,51.5877,-2.9984,34.63,73,100,9.75
279,Taoudenni,ML,2022-12-13 01:54:42,22.6783,-3.9836,76.87,29,7,4.36
280,Socorro,US,2022-12-13 01:54:43,31.6546,-106.3033,45.61,56,40,29.93
281,Sur,OM,2022-12-13 01:54:43,22.5667,59.5289,72.63,68,0,5.46
282,Shache,CN,2022-12-13 01:54:44,38.4167,77.2406,23.05,55,20,2.51
283,Klaksvik,FO,2022-12-13 01:54:45,62.2266,-6.589,32.92,58,100,23.35
284,Constitucion,CL,2022-12-13 01:54:45,-35.3333,-72.4167,59.72,72,1,14.79
285,Mehriz,IR,2022-12-13 01:54:45,31.5917,54.4318,37.9,44,100,3.38
286,Lompoc,US,2022-12-13 01:54:46,34.6391,-120.4579,51.78,78,0,8.05
287,Westport,US,2022-12-13 01:54:46,41.1415,-73.3579,32.32,58,1,8.99
288,Jaguaruna,BR,2022-12-13 01:54:47,-28.615,-49.0256,69.42,87,100,9.91
289,Mount Gambier,AU,2022-12-13 01:54:47,-37.8333,140.7667,55.04,48,97,15.23
290,Raudeberg,NO,2022-12-13 01:54:48,61.9875,5.1352,23.86,65,0,7.45
291,Saint-Leu,RE,2022-12-13 01:54:49,-21.15,55.2833,74.32,72,5,1.77
292,Pringsewu,ID,2022-12-13 01:54:49,-5.3582,104.9744,84.04,63,100,5.21
293,Heishan,CN,2022-12-13 01:54:50,41.6892,122.1128,15.96,46,100,17.87
294,Den Helder,NL,2022-12-13 01:54:50,52.9599,4.7593,26.02,93,6,8.05
